,Gender,Age,Level of Education,Frequency Grocery Shopping,Frequency Cooking,Type of Diet,Frequency Meat Consumption,"If you consume meat, Have you considered reducing your meat consumption?","If you consume meat, are you actively trying to reduce your meat consumption?",I know people around me who are flexivegetarian/ vegetarian/ vegan                           ,Are you concerned about climate change?,Meat consumption has a negative impact on climate change,"If you consume meat, do you try to eat meat with lower environmental impact? (e.g. eating chicken instead of cow).",Are you concerned about your eating habits and their impact on your health?,Meat consumption has a negative impact on your health,Are you concerned about animal welfare?,Meat is a fundamental part of a meal,"I enjoy eating meat (taste, texture)",It is hard to find meat free options in restaurants in Spain.                  ,I find more difficult cooking without meat (lack of options).,Cooking without meat is more expensive,Cooking without meat is more time consuming,"Not eating meat can cause you some nutritional deficiencies (e.g: lack of protein, iron problems, lack of vitamin B12)","Existen limitaciones sociales cuando alguien no quiere comer carne (estereotipos, connotaciones negativas)//                                                                                                                                                                                       There are social constraints when someone does not want to eat meat (stereotypes, negative connotations)",motivation_1_Animals,motivation_1_Health,motivation_1_Sustainability,motivation_2_Animals,motivation_2_Health,motivation_2_Sustainability,barrera_1_Enjoyment,barrera_1_Nutrients,barrera_1_Social,barrera_2_Enjoyment,barrera_2_Nutrients,barrera_2_Social
10,1,2,3,4,5,1,4,5.0,5.0,3,3,3,4.0,2,3,3,1,1,3,1,5,5,1,1,0,1,0,1,0,0,1,0,0,0,1,0
11,1,3,1,3,4,2,2,2.0,2.0,2,2,1,2.0,1,3,2,4,2,3,3,2,3,5,5,0,1,0,0,0,1,1,0,0,0,1,0
12,1,3,3,1,1,2,3,1.0,1.0,2,1,1,3.0,1,3,2,4,1,4,4,4,4,3,2,0,0,1,0,1,0,1,0,0,0,1,0
13,1,2,1,5,4,2,2,1.0,2.0,3,2,3,3.0,3,3,3,4,3,4,4,3,3,4,4,0,1,0,0,0,1,1,0,0,0,1,0
14,0,3,3,4,4,1,5,1.0,4.0,5,1,1,2.0,2,3,1,5,1,4,4,5,4,5,1,0,1,0,1,0,0,1,0,0,0,0,1
15,1,2,1,5,5,2,3,3.0,5.0,4,2,2,5.0,4,5,2,4,4,2,5,5,5,1,3,1,0,0,0,0,1,0,0,1,0,1,0
16,1,2,1,1,1,1,3,2.0,3.0,4,2,3,5.0,2,4,2,2,2,2,1,4,5,1,3,0,1,0,0,0,1,1,0,0,0,1,0
17,0,3,3,4,2,1,4,5.0,5.0,2,2,3,4.0,1,5,2,1,1,4,5,3,3,4,3,0,1,0,0,0,1,1,0,0,0,1,0
18,1,3,3,1,1,1,3,4.0,3.0,1,2,1,1.0,1,4,2,3,1,4,3,5,3,4,1,0,0,1,0,1,0,1,0,0,0,1,0
19,1,2,1,1,1,2,2,1.0,2.0,1,2,3,1.0,1,5,4,4,2,5,3,5,5,1,5,0,1,0,0,0,1,0,1,0,1,0,0
20,1,3,3,1,1,2,1,1.0,1.0,2,1,1,4.0,1,1,2,5,3,2,5,5,5,4,3,0,0,1,0,1,0,0,0,1,0,1,0
21,1,3,3,1,1,3,1,1.0,1.0,1,1,1,1.0,1,1,1,5,5,1,5,5,5,5,2,1,0,0,0,1,0,0,1,0,0,0,1
22,1,2,1,2,1,3,1,1.0,1.0,3,1,1,3.0,2,3,1,3,4,2,2,2,3,2,2,1,0,0,0,1,0,0,1,0,0,0,1
23,1,2,1,5,2,3,1,1.0,1.0,3,1,1,1.0,1,2,3,5,2,2,5,5,3,5,1,0,0,1,0,1,0,0,0,1,1,0,0
24,1,3,1,1,1,3,1,1.0,1.0,2,1,1,1.0,1,3,1,5,4,1,5,3,5,2,2,1,0,0,0,0,1,0,1,0,1,0,0
25,1,2,1,1,2,2,3,3.0,3.0,2,2,2,3.0,2,3,3,3,2,3,2,4,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0
26,1,3,1,1,1,3,1,1.0,1.0,2,1,1,1.0,1,1,1,5,4,1,4,2,2,3,5,0,1,0,0,0,1,0,0,1,1,0,0
27,0,2,1,5,5,1,3,3.0,4.0,3,2,3,5.0,2,4,4,3,1,4,3,2,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0
28,1,2,1,1,1,1,3,1.0,2.0,1,2,2,5.0,1,5,4,3,2,2,4,5,2,1,5,0,1,0,1,0,0,1,0,0,0,1,0
29,1,2,1,1,1,1,3,2.0,2.0,1,1,1,3.0,1,4,1,3,2,4,4,4,4,3,4,1,0,0,0,0,1,1,0,0,0,1,0
30,1,3,1,2,1,2,2,2.0,1.0,1,2,3,1.0,1,3,2,5,5,5,5,3,5,2,5,0,1,0,0,0,1,1,0,0,0,1,0
31,0,3,1,1,1,1,4,5.0,5.0,3,3,3,1.0,1,3,3,1,1,2,3,3,4,1,1,0,1,0,0,0,1,1,0,0,0,0,1
32,0,2,1,2,1,1,4,2.0,2.0,1,1,1,2.0,1,2,1,5,4,5,5,5,5,3,5,1,0,0,0,0,1,1,0,0,0,1,0
33,0,2,1,4,2,1,4,5.0,5.0,2,3,4,5.0,4,5,2,1,1,4,2,5,5,3,5,1,0,0,0,1,0,1,0,0,0,1,0
34,1,2,1,3,1,2,2,5.0,5.0,5,1,1,1.0,4,5,4,3,1,5,5,5,5,2,3,0,0,1,1,0,0,0,1,0,1,0,0
35,0,3,3,1,1,1,4,3.0,4.0,5,3,3,3.0,3,3,4,2,2,3,2,3,4,3,5,0,1,0,0,0,1,1,0,0,0,0,1
36,1,2,1,1,1,2,2,1.0,1.0,1,1,1,4.0,1,2,4,5,3,5,5,5,5,2,5,0,1,0,0,0,1,0,1,0,1,0,0
37,0,2,1,5,3,1,4,5.0,5.0,5,3,4,5.0,3,5,1,1,1,4,5,2,5,1,1,0,0,1,0,1,0,1,0,0,0,1,0
38,0,2,3,2,1,1,4,5.0,5.0,2,1,3,3.0,2,5,1,1,2,4,2,5,2,1,5,0,0,1,0,1,0,1,0,0,0,1,0
39,1,2,1,5,5,1,3,1.0,3.0,2,2,2,4.0,2,5,1,3,2,2,1,1,3,1,2,1,0,0,0,0,1,1,0,0,0,1,0
40,1,2,1,1,1,2,2,2.0,2.0,2,2,1,1.0,4,3,2,5,3,2,3,5,5,5,1,0,1,0,1,0,0,1,0,0,0,1,0
41,1,3,1,4,1,1,2,2.0,2.0,2,1,3,2.0,1,5,1,1,1,5,4,4,4,2,4,0,1,0,1,0,0,0,1,0,1,0,0
42,1,3,3,1,1,2,1,1.0,1.0,3,1,1,1.0,1,2,1,5,5,3,4,2,5,3,1,0,0,1,1,0,0,0,1,0,0,0,1
43,1,1,2,1,1,2,2,3.0,3.0,3,3,3,5.0,1,4,4,3,3,3,5,4,5,4,3,1,0,0,0,0,1,1,0,0,0,0,1
44,0,3,3,1,1,1,5,5.0,5.0,2,2,3,1.0,1,5,2,1,1,4,5,5,5,1,5,0,0,1,1,0,0,0,1,0,1,0,0
45,1,3,1,4,1,2,1,1.0,1.0,1,1,1,1.0,1,2,1,5,2,5,4,3,5,4,1,1,0,0,0,0,1,0,0,1,1,0,0
46,1,2,1,1,1,1,5,5.0,5.0,3,1,3,1.0,3,5,1,2,1,5,2,4,4,3,3,1,0,0,0,0,1,0,0,1,0,1,0
47,1,3,1,1,4,2,2,3.0,3.0,3,1,1,1.0,2,3,1,3,3,2,3,3,3,2,2,1,0,0,0,0,1,0,1,0,0,0,1
48,1,3,1,4,5,1,3,2.0,3.0,2,1,2,3.0,2,3,1,2,2,3,2,2,4,3,2,1,0,0,0,0,1,1,0,0,0,1,0
49,1,3,1,2,1,2,2,1.0,1.0,1,2,1,1.0,2,4,1,5,5,5,4,3,4,2,4,1,0,0,0,0,1,0,1,0,0,0,1
50,1,3,1,3,3,1,2,5.0,5.0,2,2,2,1.0,4,5,1,1,1,5,4,5,5,2,5,0,0,1,1,0,0,0,1,0,1,0,0
51,1,2,1,1,4,2,1,1.0,1.0,1,1,1,1.0,1,3,3,5,4,4,4,5,2,3,3,0,0,1,1,0,0,0,1,0,0,0,1
52,1,2,1,1,4,1,3,5.0,5.0,2,1,4,2.0,3,5,1,1,1,2,2,1,4,1,4,0,0,1,0,1,0,1,0,0,0,1,0
53,1,3,1,1,1,1,3,5.0,5.0,3,1,4,5.0,1,5,1,1,1,3,1,3,5,1,5,0,1,0,0,0,1,1,0,0,0,1,0
54,1,3,3,1,1,2,3,1.0,1.0,1,1,1,2.0,1,1,1,5,4,4,2,2,2,1,4,0,1,0,1,0,0,0,0,1,1,0,0
55,1,2,3,1,2,1,5,2.0,3.0,4,1,1,1.0,1,3,1,2,1,4,4,1,4,1,1,0,1,0,0,0,1,0,1,0,0,0,1
56,1,3,3,1,2,1,3,1.0,2.0,5,1,1,1.0,1,3,1,2,4,3,4,3,4,2,4,1,0,0,0,0,1,0,1,0,0,0,1
57,1,3,1,2,1,3,1,1.0,1.0,4,1,1,1.0,1,4,1,4,5,3,5,5,4,4,3,0,0,1,1,0,0,0,1,0,0,0,1
58,1,2,1,4,5,2,2,1.0,2.0,3,1,1,2.0,1,4,1,4,2,2,2,4,4,1,4,0,0,1,1,0,0,0,1,0,0,0,1
59,1,3,3,4,4,2,3,1.0,3.0,2,1,1,2.0,2,3,2,4,2,2,4,3,5,2,5,0,0,1,0,1,0,1,0,0,0,1,0
60,1,3,3,1,3,1,4,2.0,3.0,2,1,1,1.0,1,3,1,5,1,2,2,1,3,3,1,1,0,0,0,1,0,1,0,0,0,1,0
61,1,3,3,1,2,2,2,2.0,2.0,2,1,1,1.0,1,3,2,5,2,1,2,5,2,4,4,1,0,0,0,0,1,0,0,1,1,0,0
62,0,3,3,2,1,1,3,2.0,2.0,2,2,2,1.0,1,5,2,3,2,2,4,2,4,2,2,0,1,0,0,0,1,1,0,0,0,1,0
63,0,3,3,1,1,1,4,5.0,5.0,2,1,4,3.0,1,5,2,1,1,5,4,5,4,1,5,0,1,0,0,0,1,0,1,0,1,0,0
64,1,3,1,3,1,2,3,5.0,4.0,4,1,1,4.0,1,5,2,3,3,4,4,3,2,2,5,0,0,1,1,0,0,0,1,0,1,0,0
65,0,3,3,2,2,2,3,2.0,2.0,2,1,2,1.0,2,3,4,3,1,2,3,4,2,3,2,0,0,1,0,1,0,1,0,0,0,0,1
66,1,3,1,4,4,1,4,4.0,5.0,2,3,4,5.0,4,5,2,1,1,2,3,5,5,3,3,0,1,0,1,0,0,1,0,0,0,1,0
67,0,2,1,4,4,1,3,3.0,4.0,1,2,4,3.0,2,4,2,5,5,3,3,1,4,3,2,0,0,1,1,0,0,1,0,0,0,1,0
68,1,2,1,3,1,1,3,5.0,5.0,5,2,3,3.0,1,5,3,1,1,4,5,5,5,5,3,0,1,0,1,0,0,1,0,0,0,1,0
69,0,3,1,1,1,1,3,2.0,3.0,1,1,2,3.0,2,4,2,3,1,2,2,4,4,4,2,0,0,1,1,0,0,1,0,0,0,0,1
70,0,2,1,4,2,1,4,5.0,5.0,2,3,4,5.0,4,5,2,1,1,4,2,5,5,3,5,1,0,0,0,1,0,1,0,0,0,1,0
71,1,3,1,4,1,1,3,4.0,3.0,2,2,1,2.0,1,4,3,2,3,2,4,5,5,4,4,0,0,1,1,0,0,0,1,0,0,0,1
72,1,2,1,1,1,2,2,1.0,1.0,1,2,1,1.0,1,2,3,3,4,4,4,2,2,3,2,0,1,0,0,0,1,0,1,0,0,0,1
73,1,2,3,1,1,1,3,2.0,2.0,1,1,1,3.0,1,4,1,2,1,5,3,4,4,2,2,0,0,1,1,0,0,1,0,0,0,1,0
74,0,2,1,4,3,1,3,3.0,4.0,1,1,2,3.0,2,3,2,2,1,3,3,5,4,4,4,1,0,0,0,0,1,1,0,0,0,1,0
75,0,3,3,5,2,1,3,3.0,4.0,2,1,1,2.0,1,4,2,1,1,1,1,2,2,1,4,0,0,1,0,1,0,1,0,0,0,1,0
76,1,3,1,2,1,3,1,1.0,1.0,1,1,1,1.0,2,2,1,5,2,1,5,5,5,1,1,1,0,0,0,0,1,0,0,1,1,0,0
77,0,2,1,4,4,1,4,5.0,5.0,3,1,4,3.0,1,5,2,1,1,4,4,4,4,1,5,1,0,0,0,0,1,1,0,0,0,1,0
78,1,3,1,1,1,1,3,1.0,1.0,1,2,1,1.0,1,3,1,5,2,2,2,3,4,1,3,1,0,0,0,1,0,1,0,0,0,0,1
79,1,1,2,3,5,1,3,4.0,4.0,4,1,1,2.0,1,3,1,1,3,2,4,3,3,2,5,1,0,0,0,1,0,0,1,0,1,0,0
80,0,2,1,3,3,1,3,4.0,5.0,2,1,3,5.0,1,3,1,1,2,2,5,3,3,2,5,0,0,1,1,0,0,0,1,0,1,0,0
81,1,3,1,1,1,1,3,2.0,3.0,2,1,2,2.0,1,4,3,2,2,4,2,3,3,2,3,0,0,1,0,1,0,1,0,0,0,1,0
82,1,2,1,2,4,3,1,1.0,1.0,3,1,1,1.0,1,3,1,5,5,3,5,2,5,3,3,1,0,0,0,0,1,0,1,0,1,0,0
83,0,2,3,1,1,1,3,3.0,3.0,2,1,2,3.0,1,3,3,2,1,4,2,3,3,2,2,0,0,1,0,1,0,1,0,0,0,1,0
84,1,3,1,2,3,1,2,5.0,4.0,4,3,4,5.0,2,4,3,4,1,5,2,3,3,3,3,0,1,0,1,0,0,1,0,0,0,1,0
85,0,2,1,2,4,1,2,3.0,4.0,3,2,2,3.0,2,5,2,1,1,2,2,3,3,1,4,1,0,0,0,0,1,1,0,0,0,1,0
86,0,3,3,1,1,1,3,4.0,4.0,2,1,2,4.0,1,4,2,3,1,4,2,4,4,1,2,0,1,0,0,0,1,1,0,0,0,1,0
87,0,3,3,4,5,2,3,4.0,5.0,3,2,2,5.0,1,5,1,1,2,5,5,5,5,1,5,0,1,0,0,0,1,0,1,0,1,0,0
88,0,2,1,1,2,1,3,3.0,1.0,4,1,2,3.0,1,5,1,1,1,2,2,1,2,1,4,0,0,1,1,0,0,0,0,1,0,1,0
89,1,2,3,2,1,2,2,2.0,3.0,1,1,2,2.0,1,4,2,2,2,4,3,4,3,1,4,1,0,0,0,0,1,0,0,1,1,0,0
90,1,3,1,2,5,1,5,5.0,5.0,3,3,4,5.0,1,5,4,5,5,4,5,4,3,5,5,0,0,1,1,0,0,1,0,0,0,1,0
91,1,2,1,1,3,1,4,1.0,3.0,1,1,1,1.0,2,1,2,4,1,1,2,2,2,5,2,0,0,1,1,0,0,0,0,1,1,0,0
92,0,1,2,3,4,1,5,4.0,4.0,4,2,3,1.0,4,3,2,1,1,1,1,2,3,2,3,0,1,0,1,0,0,1,0,0,0,1,0
93,1,2,1,1,1,2,2,5.0,5.0,1,2,3,5.0,1,5,2,1,2,3,2,3,3,3,1,0,1,0,1,0,0,1,0,0,0,0,1
94,1,2,1,1,2,2,3,1.0,3.0,1,2,1,2.0,2,3,2,2,4,3,2,2,3,4,3,0,0,1,1,0,0,0,0,1,1,0,0
95,1,2,3,1,1,1,3,2.0,2.0,2,1,1,1.0,1,3,1,4,2,2,3,5,5,4,2,0,0,1,1,0,0,1,0,0,0,1,0
96,0,3,3,1,2,1,3,2.0,3.0,2,1,2,2.0,1,4,2,2,1,2,3,3,4,1,2,0,1,0,0,0,1,0,1,0,1,0,0
97,0,1,2,4,4,1,2,1.0,2.0,2,1,1,2.0,3,2,2,4,4,2,3,4,5,4,2,0,0,1,1,0,0,1,0,0,0,0,1
98,1,2,3,1,2,2,2,2.0,2.0,3,1,2,2.0,2,3,3,2,3,3,4,3,4,2,3,0,1,0,0,0,1,0,1,0,1,0,0
99,1,2,1,1,2,2,2,3.0,4.0,2,2,1,2.0,2,1,3,3,2,4,1,3,4,4,4,0,1,0,1,0,0,1,0,0,0,1,0
100,1,3,1,4,5,1,4,1.0,1.0,1,1,3,4.0,1,5,1,3,4,2,2,3,5,2,1,1,0,0,0,0,1,0,0,1,1,0,0
101,1,1,2,4,1,2,3,2.0,2.0,3,1,2,2.0,1,3,1,1,2,5,4,3,3,1,3,0,1,0,0,0,1,0,1,0,1,0,0
102,1,1,2,1,1,1,2,2.0,2.0,3,1,2,2.0,2,3,1,2,1,4,3,4,3,1,4,0,1,0,1,0,0,0,0,1,0,1,0
103,1,2,1,3,1,1,3,1.0,1.0,2,3,1,2.0,1,4,2,2,2,2,4,3,4,4,2,0,0,1,0,1,0,1,0,0,0,0,1
104,1,3,1,1,1,1,3,1.0,3.0,1,1,3,2.0,1,4,1,3,2,2,3,3,4,1,1,1,0,0,0,0,1,0,0,1,0,1,0
105,1,3,1,1,1,2,2,5.0,5.0,2,1,1,3.0,1,3,3,2,2,4,3,1,3,2,3,0,1,0,0,0,1,0,1,0,1,0,0
106,0,2,1,1,2,1,5,2.0,5.0,1,3,2,4.0,1,5,4,1,1,5,5,5,5,5,5,0,1,0,0,0,1,1,0,0,0,1,0
107,0,2,1,1,1,1,3,2.0,2.0,1,1,1,4.0,1,4,1,3,3,2,5,5,5,3,3,0,1,0,1,0,0,0,1,0,1,0,0
108,1,3,3,2,4,1,3,1.0,2.0,2,2,1,2.0,2,3,2,3,2,2,2,2,2,4,4,1,0,0,0,0,1,0,0,1,1,0,0
109,1,2,1,4,2,1,3,2.0,4.0,1,2,2,2.0,1,3,2,2,3,4,4,4,4,4,5,1,0,0,0,1,0,1,0,0,0,1,0
110,1,2,1,3,3,1,4,5.0,5.0,3,3,3,5.0,1,5,2,1,1,3,1,1,2,1,3,0,0,1,1,0,0,0,0,1,0,1,0
111,0,2,3,1,1,1,3,4.0,5.0,3,2,2,2.0,4,4,4,2,1,4,2,3,4,3,5,0,1,0,0,0,1,1,0,0,0,0,1
112,1,2,1,1,1,1,4,2.0,2.0,1,3,1,4.0,2,3,2,5,1,3,2,5,4,3,4,0,0,1,0,1,0,1,0,0,0,1,0
113,0,3,3,2,1,1,3,4.0,4.0,2,1,1,3.0,3,5,1,1,1,3,3,4,3,2,2,1,0,0,0,0,1,1,0,0,0,1,0
114,1,2,1,1,2,2,2,3.0,4.0,2,2,1,2.0,2,1,3,3,2,4,1,3,4,4,4,0,1,0,1,0,0,1,0,0,0,1,0
115,1,2,3,4,3,1,4,4.0,5.0,2,1,1,1.0,2,3,1,2,2,3,3,2,4,1,2,1,0,0,0,0,1,0,1,0,1,0,0
116,0,2,1,1,1,2,2,1.0,2.0,3,1,2,2.0,1,4,2,2,2,3,4,5,3,2,3,0,0,1,1,0,0,0,0,1,0,1,0
117,1,3,3,1,1,2,2,2.0,5.0,2,1,3,3.0,1,5,3,1,2,4,5,5,5,1,5,0,1,0,0,0,1,0,1,0,1,0,0
118,1,2,1,3,2,1,5,2.0,3.0,2,2,1,2.0,1,4,2,3,1,1,2,2,4,5,2,0,0,1,1,0,0,1,0,0,0,1,0
119,1,2,3,1,1,1,3,2.0,3.0,3,1,4,3.0,2,3,2,3,1,3,3,5,5,3,2,0,1,0,0,0,1,1,0,0,0,0,1
120,1,1,2,1,1,1,5,2.0,4.0,5,1,4,2.0,1,5,1,1,5,3,5,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,1
